inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,message_size,scattercast,tor_send_rate,latency,gswitch_inbuffer_size,horovod,num_gswitches,use_multicast,json,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,butterfly,num_ps,real_distribution,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,two_step,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,forward_pass_as_bytes,latency_distribution,model_name,optimal_param_distribution
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10.0,-1,24,0,1,0,2,10.0,32,"[21.040107097607677, 21.040110300807676, 21.040113504007675, 21.040116707207673, 21.04011991040767, 21.04012311360767, 21.04012631680767, 21.040129520007667, 21.040132723207666, 21.040135926407665, 21.040139129607663, 21.04014233280766, 21.04014553600766, 21.04014873920766, 21.040151942407658, 21.040155145607656, 21.040158348807655, 21.040161552007653, 21.040164755207652, 21.04016795840765, 21.04017116160765, 21.040174364807648, 21.040177568007646, 21.040180771207645, 21.040183974407643, 21.040187177607642, 21.04019038080764, 21.04019358400764, 21.040199990407636, 21.040203193607635, 21.040206396807633, 21.041303696007663]",22.294917913608465,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10.0,-1,24,0,0,0,2,10.0,32,[],33.954811500809946,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10.0,-1,25,0,1,0,2,10.0,32,"[21.040107097607677, 21.040110300807676, 21.040113504007675, 21.040116707207673, 21.04011991040767, 21.04012311360767, 21.04012631680767, 21.040129520007667, 21.040132723207666, 21.040135926407665, 21.040139129607663, 21.04014233280766, 21.04014553600766, 21.04014873920766, 21.040151942407658, 21.040155145607656, 21.040158348807655, 21.040161552007653, 21.040164755207652, 21.04016795840765, 21.04017116160765, 21.040174364807648, 21.040177568007646, 21.040180771207645, 21.040183974407643, 21.04019038080764, 21.04019358400764, 21.040196787207638, 21.040199990407636, 21.040203193607635, 21.040206396807633, 21.041303696007663]",22.24241111040842,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10.0,-1,25,0,0,0,2,10.0,32,[],33.95381150080995,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10.0,-1,26,0,1,0,2,10.0,32,"[21.040107097607677, 21.040110300807676, 21.040113504007675, 21.040116707207673, 21.04011991040767, 21.04012311360767, 21.04012631680767, 21.040129520007667, 21.040132723207666, 21.040135926407665, 21.040139129607663, 21.04014233280766, 21.04014873920766, 21.040151942407658, 21.040155145607656, 21.040158348807655, 21.040161552007653, 21.040164755207652, 21.04016795840765, 21.04017116160765, 21.040174364807648, 21.040177568007646, 21.040180771207645, 21.040183974407643, 21.040187177607642, 21.04019038080764, 21.04019358400764, 21.040196787207638, 21.040199990407636, 21.040203193607635, 21.040206396807633, 21.041303696007663]",22.24241111040842,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10.0,-1,26,0,0,0,2,10.0,32,[],33.95381150080995,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10.0,-1,27,0,1,0,2,10.0,32,"[21.040107097607677, 21.040110300807676, 21.040116707207673, 21.04011991040767, 21.04012311360767, 21.04012631680767, 21.040129520007667, 21.040132723207666, 21.040135926407665, 21.040139129607663, 21.04014233280766, 21.04014553600766, 21.04014873920766, 21.040151942407658, 21.040155145607656, 21.040158348807655, 21.040161552007653, 21.040164755207652, 21.04016795840765, 21.04017116160765, 21.040174364807648, 21.040177568007646, 21.040180771207645, 21.040183974407643, 21.040187177607642, 21.04019038080764, 21.04019358400764, 21.040196787207638, 21.040199990407636, 21.040203193607635, 21.040206396807633, 21.041303696007663]",22.296025552008427,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10.0,-1,27,0,0,0,2,10.0,32,[],33.954811500809946,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,0,4,0,json/vgg16_param_ps_assignment.json,1,0.169,10.0,-1,28,0,1,0,2,10.0,32,"[21.040107097607677, 21.040110300807676, 21.040113504007675, 21.040116707207673, 21.04011991040767, 21.04012311360767, 21.040129520007667, 21.040132723207666, 21.040135926407665, 21.040139129607663, 21.04014233280766, 21.04014553600766, 21.04014873920766, 21.040151942407658, 21.040155145607656, 21.040158348807655, 21.040161552007653, 21.040164755207652, 21.04016795840765, 21.04017116160765, 21.040174364807648, 21.040177568007646, 21.040180771207645, 21.040183974407643, 21.040187177607642, 21.04019038080764, 21.04019358400764, 21.040196787207638, 21.040199990407636, 21.040203193607635, 21.040206396807633, 21.041303696007663]",22.296023913608426,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
0,10.0,distribution_csv/vgg16/,-1,-1.0,0,100.0,1e-05,-1,1,4,0,json/vgg16_param_ps_assignment.json,0,0.169,10.0,-1,28,0,0,0,2,10.0,32,[],33.95381150080995,0,12000000.0,0.0002,10.0,1,,1,1,10.0,100.0,-1,0.0,csv/vgg16/,3000.0,10.0,0,none,vgg16,0
